time_s,radius_m,min_C,max_C_all_grid_nodes,mean_C_dry_mass_weighted,max_node
63360,0.02,0.086686161719016705,0.30495769212542806,0.23111362874493044,0
63420,0.02,0.086589836337180218,0.30469512578971558,0.23093776650599288,0
63480,0.02,0.086493901336215109,0.30443323944448125,0.23076236569113798,0
63540,0.02,0.086398354630412469,0.30417203057508096,0.2305874244315485,0
63600,0.02,0.086303194147293566,0.30391149667801448,0.23041294086838698,0
63660,0.02,0.086208417827522574,0.30365163526087341,0.23023891315273232,0
63720,0.02,0.086114023624819847,0.30339244384228925,0.23006533944551649,0
63780,0.02,0.086020009505875433,0.30313391995188149,0.22989221791746281,0
63840,0.02,0.08592637345026316,0.30287606113020638,0.2297195467490234,0
63900,0.02,0.085833113450355075,0.30261886492870527,0.22954732413031756,0
63960,0.02,0.085740227511236305,0.30236232890965392,0.22937554826107073,0
64020,0.02,0.085647713650620363,0.30210645064611141,0.22920421735055396,0
64080,0.02,0.085555569898764908,0.30185122772186945,0.22903332961752251,0
64140,0.02,0.085463794298387907,0.3015966577314021,0.22886288329015683,0
64200,0.02,0.085372384904584264,0.30134273827981539,0.22869287660600252,0
64260,0.02,0.085281339784742824,0.30108946698279743,0.22852330781191121,0
64320,0.02,0.0851906570184639,0.30083684146656858,0.22835417516398185,0
64380,0.02,0.085100334697477215,0.30058485936783175,0.22818547692750191,0
64440,0.02,0.085010370925560227,0.30033351833372335,0.22801721137688949,0
64500,0.02,0.084920763818456993,0.30008281602176362,0.22784937679563633,0
64560,0.02,0.084831511503797405,0.29983275009980825,0.22768197147624974,0
64620,0.02,0.084742612121016928,0.29958331824599915,0.22751499372019576,0
64680,0.02,0.084654063821276743,0.2993345181487162,0.22734844183784345,0
64740,0.02,0.084565864767384383,0.2990863475065289,0.22718231414840834,0
